iso3,country,region,year,gdp_pc_usd_const2015,agriculture_pct_gdp
EST,Estonia,Europe & Central Asia,2024,20078.1,1.767
ETH,Ethiopia,Sub-Saharan Africa ,2024,883.5,34.774
FIN,Finland,Europe & Central Asia,2024,45075.2,2.467
FJI,Fiji,East Asia & Pacific,2024,5935.2,13.19
FRA,France,Europe & Central Asia,2024,39683.4,1.3
FRO,Faroe Islands,Europe & Central Asia,2024,59302.1,16.067
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,2024,3001.8,22.33
GAB,Gabon,Sub-Saharan Africa ,2024,6619.0,6.559
GBR,United Kingdom,Europe & Central Asia,2024,47901.0,0.64
GEO,Georgia,Europe & Central Asia,2024,6606.4,5.485
GHA,Ghana,Sub-Saharan Africa ,2024,2173.0,20.575
GIN,Guinea,Sub-Saharan Africa ,2024,1045.9,30.961
GMB,"Gambia, The",Sub-Saharan Africa ,2024,759.0,20.434
GNB,Guinea-Bissau,Sub-Saharan Africa ,2024,785.9,41.164
GNQ,Equatorial Guinea,Sub-Saharan Africa ,2024,4893.0,2.732
GRC,Greece,Europe & Central Asia,2024,21494.7,3.766
GRD,Grenada,Latin America & Caribbean ,2024,10042.7,2.693
GRL,Greenland,Europe & Central Asia,2023,49929.8,16.558
GTM,Guatemala,Latin America & Caribbean ,2024,4564.2,9.658
GUY,Guyana,Latin America & Caribbean ,2024,33034.9,7.623
HKG,"Hong Kong SAR, China",East Asia & Pacific,2024,44734.4,0.037
HND,Honduras,Latin America & Caribbean ,2024,2575.3,11.269
HRV,Croatia,Europe & Central Asia,2024,17854.3,2.896
HTI,Haiti,Latin America & Caribbean ,2024,1154.7,16.504
HUN,Hungary,Europe & Central Asia,2024,16543.1,2.712
IDN,Indonesia,East Asia & Pacific,2024,4367.9,12.61
IMN,Isle of Man,Europe & Central Asia,2023,84315.1,0.373
IND,India,South Asia,2024,2366.8,17.574
IRL,Ireland,Europe & Central Asia,2024,94475.0,1.021
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",2024,5834.4,10.8
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",2024,4180.3,3.395
ISL,Iceland,Europe & Central Asia,2024,59053.6,3.541
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",2024,41882.0,1.285
ITA,Italy,Europe & Central Asia,2024,34508.1,2.008
